,index,ch1,ch2,ch3,dopp,UC,UC_count,Manual_Uc_Status
0,0,0,0,392,0,-1,0,-1
1,0.4,0,0,373,0,300,0,-1
2,0.12,0,0,397,0,331,0,-1
3,0.19,0,0,399,0,240,0,-1
4,0.23,0,0,405,0,270,0,-1
5,0.29,0,0,400,0,240,0,-1
6,0.34,0,0,410,0,308,0,-1
7,0.4,0,0,411,0,266,0,-1
8,0.44,0,0,403,0,199,0,-1
9,0.5,0,0,401,0,199,0,-1
10,0.56,0,0,398,0,275,0,-1
11,0.6,0,0,409,0,225,0,-1
12,0.65,0,0,400,0,166,0,-1
13,0.7,0,0,402,0,186,0,-1
14,0.75,0,0,407,0,245,0,-1
15,0.8,0,0,412,0,263,0,-1
16,0.85,0,0,400,0,221,0,-1
17,0.9,0,0,399,0,212,0,-1
18,0.95,0,0,416,0,255,0,-1
19,0.101,0,0,411,0,247,0,-1
20,0.108,0,0,400,0,200,0,-1
21,0.112,0,0,420,0,239,0,-1
22,0.118,0,0,417,0,262,0,-1
23,0.122,0,0,419,0,247,0,-1
24,0.128,0,0,400,0,217,0,-1
25,0.132,0,0,419,0,247,0,-1
26,0.138,0,0,414,0,255,0,-1
27,0.145,0,0,412,0,201,0,-1
28,0.149,0,0,407,0,189,0,-1
29,0.154,0,0,426,0,255,0,-1
30,0.16,0,0,432,0,238,0,-1
31,0.164,0,0,428,0,232,0,-1
32,0.169,0,0,422,0,188,0,-1
33,0.174,0,0,426,0,227,0,-1
34,0.179,0,0,430,0,249,0,-1
35,0.186,0,0,419,0,199,0,-1
36,0.19,0,0,421,0,205,0,-1
37,0.195,0,0,430,0,227,0,-1
38,0.201,0,0,428,0,216,0,-1
39,0.205,0,0,418,0,182,0,-1
40,0.21,0,0,415,0,177,0,-1
41,0.215,0,0,421,0,210,0,-1
42,0.222,0,0,405,0,194,0,-1
43,0.226,0,0,418,0,166,0,-1
44,0.233,0,0,404,0,177,0,-1
45,0.237,0,0,419,0,177,0,-1
46,0.244,0,0,412,0,160,0,-1
47,0.248,0,0,408,0,138,0,-1
48,0.253,0,0,411,0,127,0,-1
49,0.258,0,0,411,0,171,0,-1
50,0.264,0,0,393,0,105,0,-1
51,0.268,0,0,399,0,88,0,-1
52,0.273,0,0,402,0,105,0,-1
53,0.278,0,0,404,0,99,0,-1
54,0.283,0,0,383,0,83,0,-1
55,0.288,0,0,396,0,38,0,-1
56,0.293,0,0,384,0,55,0,-1
57,0.298,0,0,399,0,60,0,-1
58,0.304,0,0,390,0,11,0,-1
59,0.309,0,0,379,0,0,0,-1
60,0.314,0,0,381,0,10,0,-1
61,0.319,0,0,370,0,5,0,-1
62,0.324,0,0,378,0,8,0,-1
