,index,ch1,ch2,ch3,dopp,UC,UC_count,Manual_Uc_Status
115,0.575,0,0,0.00,0,-1,0,-1
116,0.580,0,0,0.00,0,-1,0,-1
117,0.585,0,0,0.00,0,-1,0,-1
118,0.590,0,0,0.00,0,-1,0,-1
119,0.595,0,0,0.00,0,-1,0,-1
120,0.600,0,0,0.00,0,-1,0,-1
121,0.605,0,0,0.00,0,-1,0,-1
122,0.610,0,0,0.00,0,-1,0,-1
123,0.616,0,0,0.00,0,-1,0,-1
124,0.620,0,0,0.00,0,-1,0,-1
125,0.626,0,0,0.00,0,-1,0,-1
126,0.630,0,0,0.00,0,-1,0,-1
127,0.636,0,0,0.00,0,-1,0,-1
128,0.640,0,0,0.00,0,-1,0,-1
129,0.645,0,0,0.00,0,-1,0,-1
130,0.650,0,0,0.00,0,-1,0,-1
131,0.655,0,0,0.00,0,-1,0,-1
132,0.660,0,0,0.00,0,-1,0,-1
133,0.665,0,0,0.00,0,-1,0,-1
134,0.670,0,0,0.00,0,-1,0,-1
135,0.676,0,0,0.00,0,-1,0,-1
136,0.681,0,0,0.00,0,-1,0,-1
137,0.685,0,0,0.00,0,-1,0,-1
138,0.690,0,0,0.00,0,-1,0,-1
139,0.695,0,0,0.00,0,-1,0,-1
140,0.700,0,0,0.00,0,-1,0,-1
141,0.705,0,0,0.00,0,-1,0,-1
142,0.710,0,0,0.00,0,-1,0,-1
143,0.716,0,0,0.00,0,-1,0,-1
144,0.720,0,0,0.00,0,-1,0,-1
145,0.725,0,0,0.00,0,-1,0,-1
146,0.731,0,0,0.00,0,-1,0,-1
147,0.735,0,0,0.00,0,-1,0,-1
148,0.741,0,0,0.00,0,-1,0,-1
149,0.745,0,0,0.00,0,-1,0,-1
150,0.750,0,0,0.00,0,-1,0,-1
151,0.755,0,0,0.00,0,-1,0,-1
152,0.760,0,0,0.00,0,-1,0,-1
153,0.765,0,0,0.00,0,-1,0,-1
154,0.770,0,0,0.00,0,-1,0,-1
155,0.775,0,0,0.00,0,-1,0,-1
156,0.780,0,0,0.00,0,-1,0,-1
157,0.785,0,0,0.00,0,-1,0,-1
158,0.790,0,0,0.00,0,-1,0,-1
159,0.795,0,0,0.00,0,-1,0,-1
160,0.800,0,0,0.00,0,-1,0,-1
161,0.805,0,0,0.00,0,-1,0,-1
162,0.810,0,0,0.00,0,-1,0,-1
163,0.815,0,0,0.00,0,-1,0,-1
164,0.821,0,0,0.00,0,-1,0,-1
165,0.825,0,0,0.00,0,-1,0,-1
166,0.830,0,0,0.00,0,-1,0,-1
167,0.835,0,0,0.00,0,-1,0,-1
168,0.840,0,0,0.00,0,-1,0,-1
169,0.845,0,0,0.00,0,-1,0,-1
170,0.850,0,0,0.00,0,-1,0,-1
171,0.855,0,0,0.00,0,-1,0,-1
172,0.861,0,0,0.00,0,-1,0,-1
173,0.865,0,0,0.00,0,-1,0,-1
174,0.870,0,0,0.00,0,-1,0,-1
175,0.875,0,0,0.00,0,-1,0,-1
176,0.880,0,0,0.00,0,-1,0,-1
177,0.885,0,0,0.00,0,-1,0,-1
178,0.890,0,0,0.00,0,-1,0,-1
179,0.895,0,0,0.00,0,-1,0,-1
180,0.900,0,0,0.00,0,-1,0,-1
181,0.905,0,0,0.00,0,-1,0,-1
182,0.910,0,0,0.00,0,-1,0,-1
183,0.915,0,0,0.00,0,-1,0,-1
184,0.921,0,0,0.00,0,-1,0,-1
185,0.926,0,0,0.00,0,-1,0,-1
186,0.931,0,0,0.00,0,-1,0,-1
187,0.935,0,0,0.00,0,-1,0,-1
188,0.940,0,0,0.00,0,-1,0,-1
189,0.945,0,0,0.00,0,-1,0,-1
190,0.950,0,0,0.00,0,-1,0,-1
191,0.955,0,0,0.00,0,-1,0,-1
192,0.960,0,0,0.00,0,-1,0,-1
193,0.965,0,0,0.00,0,-1,0,-1
194,0.970,0,0,0.00,0,-1,0,-1
195,0.975,0,0,0.00,0,-1,0,-1
196,0.980,0,0,0.00,0,-1,0,-1
197,0.985,0,0,0.00,0,-1,0,-1
198,0.990,0,0,0.00,0,-1,0,-1
199,0.995,0,0,0.00,0,-1,0,-1
200,1.0,0,0,0.00,0,-1,0,-1
201,1.5,0,0,0.00,0,-1,0,-1
202,1.10,0,0,0.00,0,-1,0,-1
203,1.15,0,0,0.00,0,-1,0,-1
204,1.20,0,0,0.00,0,-1,0,-1
205,1.26,0,0,0.00,0,-1,0,-1
206,1.30,0,0,0.00,0,-1,0,-1
207,1.35,0,0,0.00,0,-1,0,-1
208,1.40,0,0,0.00,0,-1,0,-1
209,1.45,0,0,0.00,0,-1,0,-1
210,1.50,0,0,0.00,0,-1,0,-1
211,1.55,0,0,0.00,0,-1,0,-1
212,1.60,0,0,0.00,0,-1,0,-1
213,1.65,0,0,0.00,0,-1,0,-1
214,1.70,0,0,0.00,0,-1,0,-1
215,1.75,0,0,0.00,0,-1,0,-1
216,1.80,0,0,0.00,0,-1,0,-1
217,1.85,0,0,0.00,0,-1,0,-1
218,1.90,0,0,0.00,0,-1,0,-1
219,1.95,0,0,0.00,0,-1,0,-1
220,1.100,0,0,0.00,0,-1,0,-1
221,1.105,0,0,0.00,0,-1,0,-1
222,1.110,0,0,0.00,0,-1,0,-1
223,1.115,0,0,0.00,0,-1,0,-1
224,1.120,0,0,0.00,0,-1,0,-1
225,1.126,0,0,0.00,0,-1,0,-1
226,1.130,0,0,0.00,0,-1,0,-1
227,1.135,0,0,0.00,0,-1,0,-1
228,1.140,0,0,0.00,0,-1,0,-1
229,1.145,0,0,0.00,0,-1,0,-1
230,1.150,0,0,0.00,0,-1,0,-1
231,1.155,0,0,0.00,0,-1,0,-1
232,1.160,0,0,0.00,0,-1,0,-1
233,1.165,0,0,0.00,0,-1,0,-1
234,1.170,0,0,0.00,0,-1,0,-1
235,1.175,0,0,0.00,0,-1,0,-1
236,1.180,0,0,0.00,0,-1,0,-1
237,1.185,0,0,0.00,0,-1,0,-1
238,1.190,0,0,0.00,0,-1,0,-1
239,1.195,0,0,0.00,0,-1,0,-1
240,1.200,0,0,0.00,0,-1,0,-1
241,1.205,0,0,0.00,0,-1,0,-1
242,1.210,0,0,0.00,0,-1,0,-1
243,1.215,0,0,0.00,0,-1,0,-1
244,1.220,0,0,0.00,0,-1,0,-1
245,1.225,0,0,0.00,0,-1,0,-1
246,1.230,0,0,0.00,0,-1,0,-1
247,1.235,0,0,0.00,0,-1,0,-1
248,1.241,0,0,0.00,0,-1,0,-1
249,1.245,0,0,0.00,0,-1,0,-1
250,1.250,0,0,0.00,0,-1,0,-1
251,1.255,0,0,0.00,0,-1,0,-1
252,1.260,0,0,0.00,0,-1,0,-1
253,1.265,0,0,0.00,0,-1,0,-1
254,1.270,0,0,0.00,0,-1,0,-1
255,1.275,0,0,0.00,0,-1,0,-1
256,1.280,0,0,0.00,0,-1,0,-1
257,1.285,0,0,0.00,0,-1,0,-1
258,1.290,0,0,0.00,0,-1,0,-1
259,1.295,0,0,0.00,0,-1,0,-1
260,1.300,0,0,0.00,0,-1,0,-1
261,1.305,0,0,0.00,0,-1,0,-1
262,1.310,0,0,0.00,0,-1,0,-1
263,1.315,0,0,0.00,0,-1,0,-1
264,1.320,0,0,0.00,0,-1,0,-1
265,1.325,0,0,0.00,0,-1,0,-1
266,1.331,0,0,0.00,0,-1,0,-1
267,1.335,0,0,0.00,0,-1,0,-1
268,1.340,0,0,0.00,0,-1,0,-1
269,1.345,0,0,0.00,0,-1,0,-1
270,1.350,0,0,0.00,0,-1,0,-1
271,1.355,0,0,0.00,0,-1,0,-1
272,1.360,0,0,0.00,0,-1,0,-1
273,1.365,0,0,0.00,0,-1,0,-1
274,1.370,0,0,0.00,0,-1,0,-1
275,1.375,0,0,0.00,0,-1,0,-1
276,1.380,0,0,0.00,0,-1,0,-1
277,1.385,0,0,0.00,0,-1,0,-1
278,1.390,0,0,0.00,0,-1,0,-1
279,1.395,0,0,0.00,0,-1,0,-1
280,1.400,0,0,0.00,0,-1,0,-1
281,1.405,0,0,0.00,0,-1,0,-1
282,1.410,0,0,0.00,0,-1,0,-1
283,1.415,0,0,0.00,0,-1,0,-1
284,1.420,0,0,0.00,0,-1,0,-1
285,1.425,0,0,0.00,0,-1,0,-1
286,1.430,0,0,0.00,0,-1,0,-1
287,1.435,0,0,0.00,0,-1,0,-1
288,1.440,0,0,0.00,0,-1,0,-1
289,1.445,0,0,0.00,0,-1,0,-1
290,1.450,0,0,0.00,0,-1,0,-1
291,1.455,0,0,0.00,0,-1,0,-1
292,1.460,0,0,0.00,0,-1,0,-1
293,1.465,0,0,0.00,0,-1,0,-1
294,1.470,0,0,0.00,0,-1,0,-1
295,1.475,0,0,0.00,0,-1,0,-1
296,1.480,0,0,0.00,0,-1,0,-1
297,1.485,0,0,0.00,0,-1,0,-1
298,1.491,0,0,0.00,0,-1,0,-1
299,1.495,0,0,0.00,0,-1,0,-1
300,1.500,0,0,0.00,0,-1,0,-1
301,1.505,0,0,0.00,0,-1,0,-1
302,1.510,0,0,0.00,0,-1,0,-1
303,1.515,0,0,0.00,0,-1,0,-1
304,1.520,0,0,0.00,0,-1,0,-1
305,1.526,0,0,0.00,0,-1,0,-1
306,1.530,0,0,0.00,0,-1,0,-1
307,1.535,0,0,0.00,0,-1,0,-1
308,1.540,0,0,0.00,0,-1,0,-1
309,1.545,0,0,0.00,0,-1,0,-1
310,1.550,0,0,0.00,0,-1,0,-1
311,1.555,0,0,0.00,0,-1,0,-1
312,1.560,0,0,0.00,0,-1,0,-1
313,1.565,0,0,0.00,0,-1,0,-1
314,1.570,0,0,0.00,0,-1,0,-1
315,1.575,0,0,0.00,0,-1,0,-1
316,1.580,0,0,0.00,0,-1,0,-1
317,1.585,0,0,0.00,0,-1,0,-1
318,1.590,0,0,0.00,0,-1,0,-1
319,1.595,0,0,0.00,0,-1,0,-1
320,1.600,0,0,0.00,0,-1,0,-1
321,1.605,0,0,0.00,0,-1,0,-1
322,1.610,0,0,0.00,0,-1,0,-1
323,1.615,0,0,0.00,0,-1,0,-1
324,1.620,0,0,0.00,0,-1,0,-1
325,1.626,0,0,0.00,0,-1,0,-1
326,1.631,0,0,0.00,0,-1,0,-1
327,1.635,0,0,0.00,0,-1,0,-1
328,1.640,0,0,0.00,0,-1,0,-1
329,1.645,0,0,0.00,0,-1,0,-1
330,1.650,0,0,0.00,0,-1,0,-1
331,1.655,0,0,0.00,0,-1,0,-1
332,1.660,0,0,0.00,0,-1,0,-1
333,1.665,0,0,0.00,0,-1,0,-1
334,1.670,0,0,0.00,0,-1,0,-1
335,1.675,0,0,0.00,0,-1,0,-1
336,1.680,0,0,0.00,0,-1,0,-1
337,1.685,0,0,0.00,0,-1,0,-1
338,1.690,0,0,0.00,0,-1,0,-1
339,1.695,0,0,0.00,0,-1,0,-1
340,1.700,0,0,0.00,0,-1,0,-1
341,1.705,0,0,0.00,0,-1,0,-1
342,1.711,0,0,0.00,0,-1,0,-1
343,1.715,0,0,0.00,0,-1,0,-1
344,1.720,0,0,0.00,0,-1,0,-1
345,1.726,0,0,0.00,0,-1,0,-1
346,1.730,0,0,0.00,0,-1,0,-1
347,1.735,0,0,0.00,0,-1,0,-1
348,1.741,0,0,0.00,0,-1,0,-1
349,1.745,0,0,0.00,0,-1,0,-1
350,1.750,0,0,0.00,0,-1,0,-1
351,1.755,0,0,0.00,0,-1,0,-1
352,1.760,0,0,0.00,0,-1,0,-1
353,1.765,0,0,0.00,0,-1,0,-1
354,1.770,0,0,0.00,0,-1,0,-1
355,1.775,0,0,0.00,0,-1,0,-1
356,1.780,0,0,0.00,0,-1,0,-1
357,1.785,0,0,0.00,0,-1,0,-1
358,1.790,0,0,0.00,0,-1,0,-1
359,1.795,0,0,0.00,0,-1,0,-1
360,1.800,0,0,0.00,0,-1,0,-1
361,1.805,0,0,0.00,0,-1,0,-1
362,1.810,0,0,0.00,0,-1,0,-1
363,1.815,0,0,0.00,0,-1,0,-1
364,1.820,0,0,0.00,0,-1,0,-1
365,1.825,0,0,0.00,0,-1,0,-1
366,1.830,0,0,0.00,0,-1,0,-1
367,1.836,0,0,0.00,0,-1,0,-1
368,1.841,0,0,0.00,0,-1,0,-1
369,1.845,0,0,0.00,0,-1,0,-1
370,1.850,0,0,0.00,0,-1,0,-1
371,1.855,0,0,0.00,0,-1,0,-1
372,1.860,0,0,0.00,0,-1,0,-1
373,1.865,0,0,0.00,0,-1,0,-1
374,1.870,0,0,0.00,0,-1,0,-1
375,1.875,0,0,0.00,0,-1,0,-1
376,1.880,0,0,0.00,0,-1,0,-1
377,1.885,0,0,0.00,0,-1,0,-1
378,1.890,0,0,0.00,0,-1,0,-1
379,1.895,0,0,0.00,0,-1,0,-1
380,1.900,0,0,0.00,0,-1,0,-1
381,1.905,0,0,0.00,0,-1,0,-1
382,1.910,0,0,0.00,0,-1,0,-1
383,1.915,0,0,0.00,0,-1,0,-1
384,1.920,0,0,0.00,0,-1,0,-1
385,1.925,0,0,0.00,0,-1,0,-1
386,1.930,0,0,0.00,0,-1,0,-1
387,1.935,0,0,0.00,0,-1,0,-1
388,1.940,0,0,0.00,0,-1,0,-1
389,1.945,0,0,0.00,0,-1,0,-1
390,1.950,0,0,0.00,0,-1,0,-1
391,1.955,0,0,0.00,0,-1,0,-1
392,1.960,0,0,0.00,0,-1,0,-1
393,1.965,0,0,0.00,0,-1,0,-1
394,1.970,0,0,0.00,0,-1,0,-1
395,1.975,0,0,0.00,0,-1,0,-1
396,1.980,0,0,0.00,0,-1,0,-1
397,1.985,0,0,0.00,0,-1,0,-1
398,1.990,0,0,0.00,0,-1,0,-1
399,1.995,0,0,0.00,0,-1,0,-1
400,2.0,0,0,0.00,0,-1,0,-1
401,2.5,0,0,0.00,0,-1,0,-1
402,2.10,0,0,0.00,0,-1,0,-1
403,2.15,0,0,0.00,0,-1,0,-1
404,2.20,0,0,0.00,0,-1,0,-1
405,2.25,0,0,0.00,0,-1,0,-1
406,2.30,0,0,0.00,0,-1,0,-1
407,2.35,0,0,0.00,0,-1,0,-1
408,2.41,0,0,0.00,0,-1,0,-1
409,2.46,0,0,0.00,0,-1,0,-1
410,2.50,0,0,0.00,0,-1,0,-1
411,2.55,0,0,0.00,0,-1,0,-1
412,2.60,0,0,0.00,0,-1,0,-1
413,2.65,0,0,0.00,0,-1,0,-1
414,2.70,0,0,0.00,0,-1,0,-1
415,2.75,0,0,0.00,0,-1,0,-1
416,2.80,0,0,0.00,0,-1,0,-1
417,2.85,0,0,0.00,0,-1,0,-1
418,2.91,0,0,0.00,0,-1,0,-1
419,2.96,0,0,0.00,0,-1,0,-1
420,2.100,0,0,0.00,0,-1,0,-1
421,2.105,0,0,0.00,0,-1,0,-1
422,2.110,0,0,0.00,0,-1,0,-1
423,2.115,0,0,0.00,0,-1,0,-1
424,2.121,0,0,0.00,0,-1,0,-1
425,2.126,0,0,0.00,0,-1,0,-1
426,2.131,0,0,0.00,0,-1,0,-1
427,2.135,0,0,0.00,0,-1,0,-1
428,2.140,0,0,0.00,0,-1,0,-1
429,2.146,0,0,0.00,0,-1,0,-1
430,2.150,0,0,0.00,0,-1,0,-1
431,2.155,0,0,0.00,0,-1,0,-1
432,2.160,0,0,0.00,0,-1,0,-1
433,2.165,0,0,0.00,0,-1,0,-1
434,2.170,0,0,0.00,0,-1,0,-1
435,2.175,0,0,0.00,0,-1,0,-1
436,2.180,0,0,0.00,0,-1,0,-1
437,2.185,0,0,0.00,0,-1,0,-1
438,2.190,0,0,0.00,0,-1,0,-1
439,2.195,0,0,0.00,0,-1,0,-1
