Time Stamp,IR Value
"12:29:06 pm
","79262
"
"12:29:06 pm
","79262
"
"12:29:06 pm
","79262
"
"12:29:06 pm
","79262
"
"12:29:06 pm
","79262
"
"12:29:07 pm
","79262
"
"12:29:07 pm
","79262
"
"12:29:07 pm
","79262
"
"12:29:07 pm
","79262
"
"12:29:07 pm
","79262
"
"12:29:07 pm
","79262
"
"12:29:08 pm
","79262
"
"12:29:08 pm
","79262
"
"12:29:08 pm
","79262
"
"12:29:08 pm
","79262
"
"12:29:08 pm
","79262
"
"12:29:08 pm
","79262
"
"12:29:09 pm
","79262
"
"12:29:09 pm
","79262
"
"12:29:09 pm
","79262
"
"12:29:09 pm
","79262
"
"12:29:09 pm
","79262
"
"12:29:09 pm
","79262
"
"12:29:10 pm
","79262
"
"12:29:10 pm
","79262
"
"12:29:10 pm
","79262
"
"12:29:10 pm
","79262
"
"12:29:10 pm
","79262
"
"12:29:10 pm
","79262
"
"12:29:11 pm
","79262
"
"12:29:11 pm
","79262
"
"12:29:11 pm
","79262
"
"12:29:11 pm
","79262
"
"12:29:11 pm
","79262
"
"12:29:11 pm
","79262
"
"12:29:11 pm
","79262
"
"12:29:12 pm
","79262
"
"12:29:12 pm
","79262
"
"12:29:12 pm
","79262
"
"12:29:12 pm
","79262
"
"12:29:12 pm
","79262
"
"12:29:12 pm
","79262
"
"12:29:13 pm
","79262
"
"12:29:13 pm
","79262
"
"12:29:13 pm
","79262
"
