,index,ch1,ch2,ch3,dopp,UC,UC_count,Manual_Uc_Status
0,609.868,0,0,2311.00,0,243,20,-1
1,609.873,0,0,2321.00,0,244,20,-1
2,609.878,0,0,2313.00,0,243,20,-1
3,609.883,0,0,2320.00,0,244,20,-1
4,609.888,0,0,2314.00,0,243,20,-1
5,609.893,0,0,2320.00,0,244,20,-1
6,609.898,0,0,2313.00,0,243,20,-1
7,609.903,0,0,2321.00,0,244,20,-1
8,609.908,0,0,2314.00,0,243,20,-1
9,609.914,0,0,2322.00,0,244,20,-1
10,609.918,0,0,2313.00,0,243,20,-1
11,609.923,0,0,2320.00,0,244,20,-1
12,609.928,0,0,2315.00,0,243,20,-1
13,609.933,0,0,2323.00,0,244,20,-1
14,609.938,0,0,2316.00,0,244,20,-1
15,609.943,0,0,2323.00,0,244,20,-1
16,609.948,0,0,2314.00,0,243,20,-1
17,609.953,0,0,2325.00,0,244,20,-1
18,609.958,0,0,2315.00,0,243,20,-1
19,609.963,0,0,2323.00,0,244,20,-1
20,609.968,0,0,2316.00,0,243,20,-1
21,609.973,0,0,2321.00,0,244,20,-1
22,609.978,0,0,2313.00,0,243,20,-1
23,609.983,0,0,2321.00,0,244,20,-1
24,609.988,0,0,2313.00,0,243,20,-1
25,609.993,0,0,2320.00,0,244,20,-1
26,609.998,0,0,2318.00,0,243,20,-1
27,610.3,0,0,2322.00,0,244,20,-1
28,610.9,0,0,2315.00,0,243,20,-1
29,610.13,0,0,2321.00,0,244,20,-1
30,610.18,0,0,2317.00,0,244,20,-1
31,610.23,0,0,2320.00,0,244,20,-1
32,610.28,0,0,2315.00,0,243,20,-1
33,610.33,0,0,2323.00,0,244,20,-1
34,610.38,0,0,2315.00,0,244,20,-1
35,610.43,0,0,2322.00,0,244,20,-1
36,610.48,0,0,2316.00,0,243,20,-1
37,610.53,0,0,2322.00,0,244,20,-1
38,610.58,0,0,2316.00,0,243,20,-1
39,610.63,0,0,2320.00,0,244,20,-1
40,610.68,0,0,2318.00,0,244,20,-1
41,610.73,0,0,2322.00,0,244,20,-1
42,610.78,0,0,2315.00,0,243,20,-1
43,610.83,0,0,2322.00,0,244,20,-1
44,610.88,0,0,2315.00,0,244,20,-1
45,610.93,0,0,2324.00,0,244,20,-1
46,610.98,0,0,2313.00,0,243,20,-1
47,610.103,0,0,2320.00,0,244,20,-1
48,610.108,0,0,2314.00,0,243,20,-1
49,610.113,0,0,2323.00,0,244,20,-1
50,610.118,0,0,2316.00,0,243,20,-1
51,610.123,0,0,2320.00,0,244,20,-1
52,610.128,0,0,2315.00,0,243,20,-1
53,610.133,0,0,2322.00,0,244,20,-1
54,610.138,0,0,2313.00,0,243,20,-1
55,610.143,0,0,2320.00,0,244,20,-1
56,610.148,0,0,2316.00,0,243,20,-1
57,610.153,0,0,2321.00,0,244,20,-1
58,610.158,0,0,2313.00,0,243,20,-1
59,610.163,0,0,2321.00,0,244,20,-1
60,610.168,0,0,2315.00,0,243,20,-1
61,610.173,0,0,2322.00,0,244,20,-1
62,610.178,0,0,2313.00,0,243,20,-1
63,610.183,0,0,2320.00,0,244,20,-1
64,610.188,0,0,2315.00,0,243,20,-1
65,610.193,0,0,2320.00,0,244,20,-1
66,610.198,0,0,2313.00,0,243,20,-1
67,610.203,0,0,2323.00,0,244,20,-1
68,610.208,0,0,2313.00,0,243,20,-1
69,610.213,0,0,2321.00,0,244,20,-1
70,610.218,0,0,2314.00,0,243,20,-1
71,610.223,0,0,2322.00,0,244,20,-1
72,610.228,0,0,2313.00,0,243,20,-1
73,610.233,0,0,2320.00,0,244,20,-1
74,610.238,0,0,2314.00,0,243,20,-1
75,610.243,0,0,2320.00,0,244,20,-1
76,610.248,0,0,2315.00,0,243,20,-1
77,610.253,0,0,2320.00,0,244,20,-1
78,610.258,0,0,2313.00,0,243,20,-1
79,610.263,0,0,2320.00,0,244,20,-1
80,610.268,0,0,2315.00,0,243,20,-1
81,610.273,0,0,2322.00,0,244,20,-1
82,610.278,0,0,2311.00,0,243,20,-1
83,610.283,0,0,2320.00,0,244,20,-1
84,610.288,0,0,2314.00,0,243,20,-1
85,610.293,0,0,2322.00,0,244,20,-1
86,610.298,0,0,2314.00,0,243,20,-1
87,610.303,0,0,2320.00,0,244,20,-1
88,610.308,0,0,2311.00,0,243,20,-1
89,610.313,0,0,2321.00,0,244,20,-1
90,610.318,0,0,2313.00,0,243,20,-1
91,610.323,0,0,2320.00,0,244,20,-1
92,610.328,0,0,2314.00,0,243,20,-1
93,610.333,0,0,2323.00,0,244,20,-1
94,610.338,0,0,2309.00,0,243,20,-1
95,610.343,0,0,2320.00,0,244,20,-1
96,610.348,0,0,2313.00,0,243,20,-1
97,610.353,0,0,2320.00,0,244,20,-1
98,610.358,0,0,2311.00,0,243,20,-1
99,610.363,0,0,2320.00,0,244,20,-1
100,610.368,0,0,2316.00,0,243,20,-1
101,610.373,0,0,2321.00,0,244,20,-1
102,610.378,0,0,2315.00,0,243,20,-1
